cue_file,target_x,is_valid,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,fixation.stopped,cue.started,cue.stopped,target.started,target.stopped,resp.x,resp.y,resp.leftButton,resp.midButton,resp.rightButton,resp.clicked_name,resp.started,resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/arrow_right.png,0.5,valid,0,0,0,4,9.644076211377978,10.161705550737679,10.344425031915307,10.544340826570988,10.544340826570988,None,0.6277777777777778,0.009722222222222222,1,0,0,target,0.9217498674988747,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_left.png,-0.5,valid,0,1,1,0,11.212322848848999,11.729084257036448,11.896294376812875,12.113220169208944,12.113220169208944,None,-0.35833333333333334,0.02013888888888889,1,0,0,target,0.9206713931635022,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_right.png,0.5,valid,0,2,2,6,12.764434000477195,13.263471958227456,13.430965216830373,13.632122204639018,13.632122204639018,None,0.4861111111111111,0.034722222222222224,1,0,0,target,0.9041344411671162,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_left.png,0.5,invalid,0,3,3,8,14.398425783030689,14.898444078862667,15.066271346993744,15.265434425324202,15.265434425324202,None,0.5430555555555555,-0.006944444444444444,1,0,0,target,0.9210165301337838,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_right.png,0.5,valid,0,4,4,7,16.05124721955508,16.567451413720846,16.70089316740632,16.89998344425112,16.89998344425112,None,0.4861111111111111,-0.008333333333333333,1,0,0,target,0.903977757319808,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_left.png,-0.5,valid,0,5,5,2,17.400496437214315,17.91810490563512,18.08544644806534,18.319290295243263,18.285675200633705,None,-0.4791666666666667,0.013194444444444444,1,0,0,target,0.9195600096136332,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_left.png,-0.5,valid,0,6,6,3,18.852995865046978,19.352234676480293,19.518960983492434,19.71947415638715,19.71947415638715,None,-0.4083333333333333,0.03194444444444444,1,0,0,target,0.9042258718982339,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_right.png,0.5,valid,0,7,7,5,20.324131228029728,20.839062918908894,21.01556974928826,21.23973434884101,21.204561908729374,None,0.42916666666666664,0.025694444444444443,1,0,0,target,0.924806640483439,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_right.png,-0.5,invalid,0,8,8,9,21.938342556357384,22.440184665843844,22.622536616399884,22.822361826896667,22.792495300062,None,-0.6069444444444444,0.034027777777777775,1,0,0,target,0.9023720137774944,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_left.png,-0.5,valid,0,9,9,1,23.707910533994436,24.21109600458294,24.3728540930897,24.574586652219296,24.574586652219296,None,-0.46041666666666664,0.011111111111111112,1,0,0,target,0.9052119459956884,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_left.png,-0.5,valid,1,0,10,2,25.125134301371872,25.658720955252647,25.791458455845714,25.991693442687392,25.991693442687392,None,-0.44166666666666665,0.025,1,0,0,target,0.9050470506772399,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_left.png,0.5,invalid,1,1,11,8,26.708763767965138,27.20914270170033,27.393207530491054,27.576265648007393,27.576265648007393,None,0.4263888888888889,0.021527777777777778,1,0,0,target,0.9047626797109842,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_right.png,0.5,valid,1,2,12,4,28.277633292600513,28.77776990737766,28.94428149983287,29.162484732456505,29.162484732456505,None,0.49027777777777776,-0.04027777777777778,1,0,0,target,0.9239378347992897,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_right.png,0.5,valid,1,3,13,7,29.729235372506082,30.24597562570125,30.411951696500182,30.613130379468203,30.613130379468203,None,0.5041666666666667,0.03333333333333333,1,0,0,target,0.9210774460807443,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_left.png,-0.5,valid,1,4,14,3,31.079876832664013,31.580420264042914,31.746381896547973,31.947188685648143,31.947188685648143,None,-0.36944444444444446,0.013888888888888888,1,0,0,target,0.9033731324598193,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_right.png,-0.5,invalid,1,5,15,9,32.579991296865046,33.08165971469134,33.25105511397123,33.44788643438369,33.44788643438369,None,-0.5923611111111111,0.004166666666666667,1,0,0,target,0.9023007983341813,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_right.png,0.5,valid,1,6,16,5,34.283185658976436,34.782435193657875,34.948531705886126,35.14983269944787,35.14983269944787,None,0.4215277777777778,0.020833333333333332,1,0,0,target,0.9049922833219171,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_left.png,-0.5,valid,1,7,17,0,35.633358435705304,36.133424282073975,36.317138496786356,36.50030267611146,36.50030267611146,None,-0.4826388888888889,0.0006944444444444445,1,0,0,target,0.9043653942644596,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_left.png,-0.5,valid,1,8,18,1,37.033692471683025,37.53518921229988,37.717659960500896,37.9361772891134,37.90113022644073,None,-0.5152777777777777,-0.002777777777777778,1,0,0,target,0.905686036683619,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
images/arrow_right.png,0.5,valid,1,9,19,6,38.45217079669237,38.952938033267856,39.137930979020894,39.36991929356009,39.3369794646278,None,0.41944444444444445,0.022916666666666665,1,0,0,target,0.9206417417153716,None,,001,2021_Jan_19_1126,PosnerExp,2020.2.10,29.935013219054003,
